Created date / time,21 August 2026 / 09:14:22
Bank,ASB Bank Limited
Account,12-3040-0123456-00
From date,2026/08/01
To date,2026/08/21
Avail Bal,10688.37
Ledger Bal,10688.37

Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount
2026/08/20,20260820001,D/C,,AUCKLAND DHB PAYROLL,SALARY,7432.18
2026/08/19,20260819002,EFTPOS,,COUNTDOWN MT EDEN,,-87.43
2026/08/19,20260819003,EFTPOS,,ALLPRESS ESPRESSO PONSONBY,,-7.50
2026/08/18,20260818004,VISA,,UBER EATS,,-38.70
2026/08/17,20260817005,EFTPOS,,Z ENERGY GREY LYNN,,-89.64
2026/08/16,20260816006,D/C,,NORTH STUDIO LTD,INVOICE 882,1150.00
2026/08/15,20260815007,D/D,,GENESIS ENERGY,POWER,-186.42
2026/08/14,20260814008,D/D,,SPARK FIBRE,,-99.00
2026/08/12,20260812009,VISA,,NEW WORLD VICTORIA PARK,,-124.90
2026/08/11,20260811010,EFTPOS,,AT HOP TOP UP,,-40.00
2026/08/10,20260810011,VISA,,UNIQLO COMMERCIAL BAY,,-64.00
2026/08/09,20260809012,VISA,,EVENT CINEMAS QUEEN ST,,-29.50
2026/08/08,20260808013,D/C,,IRD,TAX REFUND,428.60
2026/08/08,20260808014,D/D,,NETFLIX.COM,,-24.99
2026/08/06,20260806015,EFTPOS,,UNCHEM PHARMACY,,-22.80
2026/08/05,20260805016,VISA,,FARRO FRESH FREEMANS BAY,,-56.20
2026/08/05,20260805017,D/D,,SPOTIFY,,-17.99
2026/08/03,20260803018,CREDIT,,WESTPAC,INTEREST,12.07
2026/08/02,20260802019,AP,,KIWISAVER,KS,-400.00
2026/08/01,20260801020,AP,,KAURI RENTALS LTD,RENT,-2150.00
