Date,Amount,Payee,Particulars,Code,Reference,Tran Type,This Party Account,Other Party Account,Serial,Transaction Code,Batch Number,Originating Bank/Branch
20/08/2026,7432.18,AUCKLAND DHB PAYROLL,SALARY,,SALARY,DC,02-0123-0012345-00,,,,,
19/08/2026,-87.43,COUNTDOWN MT EDEN,,,,POS,02-0123-0012345-00,,,,,
19/08/2026,-7.50,ALLPRESS ESPRESSO PONSONBY,,,,POS,02-0123-0012345-00,,,,,
18/08/2026,-38.70,UBER EATS,,,,VISA,02-0123-0012345-00,,,,,
17/08/2026,-89.64,Z ENERGY GREY LYNN,,,,POS,02-0123-0012345-00,,,,,
16/08/2026,1150.00,NORTH STUDIO LTD,INVOICE 882,,INVOICE 882,DC,02-0123-0012345-00,,,,,
15/08/2026,-186.42,GENESIS ENERGY,POWER,,POWER,DD,02-0123-0012345-00,,,,,
14/08/2026,-99.00,SPARK FIBRE,,,,DD,02-0123-0012345-00,,,,,
12/08/2026,-124.90,NEW WORLD VICTORIA PARK,,,,VISA,02-0123-0012345-00,,,,,
11/08/2026,-40.00,AT HOP TOP UP,,,,POS,02-0123-0012345-00,,,,,
10/08/2026,-64.00,UNIQLO COMMERCIAL BAY,,,,VISA,02-0123-0012345-00,,,,,
09/08/2026,-29.50,EVENT CINEMAS QUEEN ST,,,,VISA,02-0123-0012345-00,,,,,
08/08/2026,428.60,IRD,TAX REFUND,,TAX REFUND,DC,02-0123-0012345-00,,,,,
08/08/2026,-24.99,NETFLIX.COM,,,,DD,02-0123-0012345-00,,,,,
06/08/2026,-22.80,UNCHEM PHARMACY,,,,POS,02-0123-0012345-00,,,,,
05/08/2026,-56.20,FARRO FRESH FREEMANS BAY,,,,VISA,02-0123-0012345-00,,,,,
05/08/2026,-17.99,SPOTIFY,,,,DD,02-0123-0012345-00,,,,,
03/08/2026,12.07,WESTPAC,INTEREST,,INTEREST,CREDIT,02-0123-0012345-00,,,,,
02/08/2026,-400.00,KIWISAVER,KS,,KS,AP,02-0123-0012345-00,,,,,
01/08/2026,-2150.00,KAURI RENTALS LTD,RENT,,RENT,AP,02-0123-0012345-00,,,,,
