Account number,Date,Memo/Description,Source Code (payment type),TP ref,TP part,TP code,OP ref,OP part,OP code,OP name,OP Bank Account Number,Amount (credit),Amount (debit),Amount,Balance
38-9000-0123456-00,20-08-2026,SALARY,DC,,,,,,,AUCKLAND DHB PAYROLL,,7432.18,,7432.18,14004.33
38-9000-0123456-00,19-08-2026,COUNTDOWN MT EDEN,POS,,,,,,,COUNTDOWN MT EDEN,,,87.43,-87.43,6579.65
38-9000-0123456-00,19-08-2026,ALLPRESS ESPRESSO PONSONBY,POS,,,,,,,ALLPRESS ESPRESSO PONSONBY,,,7.50,-7.50,6572.15
38-9000-0123456-00,18-08-2026,UBER EATS,VISA,,,,,,,UBER EATS,,,38.70,-38.70,6667.08
38-9000-0123456-00,17-08-2026,Z ENERGY GREY LYNN,POS,,,,,,,Z ENERGY GREY LYNN,,,89.64,-89.64,6705.78
38-9000-0123456-00,16-08-2026,INVOICE 882,DC,,,,,,,NORTH STUDIO LTD,,1150.00,,1150.00,6795.42
38-9000-0123456-00,15-08-2026,POWER,DD,,,,,,,GENESIS ENERGY,,,186.42,-186.42,5645.42
38-9000-0123456-00,14-08-2026,SPARK FIBRE,DD,,,,,,,SPARK FIBRE,,,99.00,-99.00,5831.84
38-9000-0123456-00,12-08-2026,NEW WORLD VICTORIA PARK,VISA,,,,,,,NEW WORLD VICTORIA PARK,,,124.90,-124.90,5930.84
38-9000-0123456-00,11-08-2026,AT HOP TOP UP,POS,,,,,,,AT HOP TOP UP,,,40.00,-40.00,6055.74
38-9000-0123456-00,10-08-2026,UNIQLO COMMERCIAL BAY,VISA,,,,,,,UNIQLO COMMERCIAL BAY,,,64.00,-64.00,6095.74
38-9000-0123456-00,09-08-2026,EVENT CINEMAS QUEEN ST,VISA,,,,,,,EVENT CINEMAS QUEEN ST,,,29.50,-29.50,6159.74
38-9000-0123456-00,08-08-2026,TAX REFUND,DC,,,,,,,IRD,,428.60,,428.60,6189.24
38-9000-0123456-00,08-08-2026,NETFLIX.COM,DD,,,,,,,NETFLIX.COM,,,24.99,-24.99,5760.64
38-9000-0123456-00,06-08-2026,UNCHEM PHARMACY,POS,,,,,,,UNCHEM PHARMACY,,,22.80,-22.80,5785.63
38-9000-0123456-00,05-08-2026,FARRO FRESH FREEMANS BAY,VISA,,,,,,,FARRO FRESH FREEMANS BAY,,,56.20,-56.20,5826.42
38-9000-0123456-00,05-08-2026,SPOTIFY,DD,,,,,,,SPOTIFY,,,17.99,-17.99,5808.43
38-9000-0123456-00,03-08-2026,INTEREST,CREDIT,,,,,,,WESTPAC,,12.07,,12.07,5882.62
38-9000-0123456-00,02-08-2026,KS,AP,,,,,,,KIWISAVER,,,400.00,-400.00,5870.55
38-9000-0123456-00,01-08-2026,RENT,AP,,,,,,,KAURI RENTALS LTD,,,2150.00,-2150.00,6270.55
