Account number,Date,Memo/Description,Source Code (payment type),TPN,TP Name,Reference,Particulars,Code,Amount,Other Party Account,Date Processed,Our Recommended Reference
38-9000-0123456-00,20/08/2026,Salary,DC,,AUCKLAND DHB PAYROLL,SALARY,,,7432.18,,20/08/2026,
38-9000-0123456-00,19/08/2026,COUNTDOWN MT EDEN,POS,,COUNTDOWN,,,,-87.43,,19/08/2026,
38-9000-0123456-00,19/08/2026,ALLPRESS ESPRESSO PONSONBY,POS,,ALLPRESS,,,,-7.50,,19/08/2026,
38-9000-0123456-00,18/08/2026,UBER EATS,VISA,,UBER EATS,,,,-38.70,,18/08/2026,
38-9000-0123456-00,17/08/2026,Z ENERGY GREY LYNN,POS,,Z ENERGY,,,,-89.64,,17/08/2026,
38-9000-0123456-00,16/08/2026,Invoice 882,DC,,NORTH STUDIO LTD,INVOICE 882,,,1150.00,,16/08/2026,
38-9000-0123456-00,15/08/2026,Power,DD,,GENESIS ENERGY,POWER,,,-186.42,,15/08/2026,
38-9000-0123456-00,14/08/2026,Fibre,DD,,SPARK FIBRE,,,,-99.00,,14/08/2026,
38-9000-0123456-00,12/08/2026,NEW WORLD VICTORIA PARK,VISA,,NEW WORLD,,,,-124.90,,12/08/2026,
38-9000-0123456-00,11/08/2026,AT HOP TOP UP,POS,,AUCKLAND TRANSPORT,,,,-40.00,,11/08/2026,
38-9000-0123456-00,10/08/2026,UNIQLO COMMERCIAL BAY,VISA,,UNIQLO,,,,-64.00,,10/08/2026,
38-9000-0123456-00,09/08/2026,EVENT CINEMAS QUEEN ST,VISA,,EVENT CINEMAS,,,,-29.50,,09/08/2026,
38-9000-0123456-00,08/08/2026,Tax refund,DC,,IRD,TAX REFUND,,,428.60,,08/08/2026,
38-9000-0123456-00,08/08/2026,NETFLIX.COM,DD,,NETFLIX,,,,-24.99,,08/08/2026,
38-9000-0123456-00,06/08/2026,UNCHEM PHARMACY,POS,,UNCHEM,,,,-22.80,,06/08/2026,
38-9000-0123456-00,05/08/2026,FARRO FRESH FREEMANS BAY,VISA,,FARRO,,,,-56.20,,08/08/2026,
38-9000-0123456-00,05/08/2026,SPOTIFY,DD,,SPOTIFY,,,,-17.99,,05/08/2026,
38-9000-0123456-00,03/08/2026,Interest,CREDIT,,WESTPAC,INTEREST,,,12.07,,03/08/2026,
38-9000-0123456-00,02/08/2026,KiwiSaver,AP,,KIWISAVER,KS,,,-400.00,,02/08/2026,
38-9000-0123456-00,01/08/2026,Rent,AP,,KAURI RENTALS LTD,RENT,,,-2150.00,,01/08/2026,
