Bank Account,Date,Narrative,Debit Amount,Credit Amount,Balance,Value Date
03-0123-0012345-00,20/08/2026,PAYROLL AUCKLAND DHB SALARY,,7432.18,18120.55,20/08/2026
03-0123-0012345-00,19/08/2026,COUNTDOWN MT EDEN,87.43,,10688.37,19/08/2026
03-0123-0012345-00,19/08/2026,ALLPRESS ESPRESSO PONSONBY,7.50,,10680.87,19/08/2026
03-0123-0012345-00,18/08/2026,UBER EATS,38.70,,10642.17,18/08/2026
03-0123-0012345-00,17/08/2026,Z ENERGY GREY LYNN,89.64,,10552.53,17/08/2026
03-0123-0012345-00,16/08/2026,NORTH STUDIO LTD INVOICE 882,,1150.00,10642.17,16/08/2026
03-0123-0012345-00,15/08/2026,GENESIS ENERGY POWER,186.42,,9492.17,15/08/2026
03-0123-0012345-00,14/08/2026,SPARK FIBRE,99.00,,9678.59,14/08/2026
03-0123-0012345-00,12/08/2026,NEW WORLD VICTORIA PARK,124.90,,9777.59,12/08/2026
03-0123-0012345-00,11/08/2026,AT HOP TOP UP,40.00,,9902.49,11/08/2026
03-0123-0012345-00,10/08/2026,UNIQLO COMMERCIAL BAY,64.00,,9942.49,10/08/2026
03-0123-0012345-00,09/08/2026,EVENT CINEMAS QUEEN ST,29.50,,10006.49,09/08/2026
03-0123-0012345-00,08/08/2026,IRD TAX REFUND,,428.60,10035.99,08/08/2026
03-0123-0012345-00,08/08/2026,NETFLIX.COM,24.99,,9607.39,08/08/2026
03-0123-0012345-00,06/08/2026,UNCHEM PHARMACY,22.80,,9632.38,06/08/2026
03-0123-0012345-00,05/08/2026,FARRO FRESH FREEMANS BAY,56.20,,9655.18,05/08/2026
03-0123-0012345-00,05/08/2026,SPOTIFY,17.99,,9711.38,05/08/2026
03-0123-0012345-00,03/08/2026,WESTPAC INTEREST,,12.07,9729.37,03/08/2026
03-0123-0012345-00,02/08/2026,KIWISAVER,400.00,,9717.30,02/08/2026
03-0123-0012345-00,01/08/2026,KAURI RENTALS LTD RENT,2150.00,,10117.30,01/08/2026
